v = 34
a = 9
(b1, b2) = (13, 25)
c = 138
(d1, d2) = (0, 14)
(e1, e2) = (27, 24)
(f1, f2) = (38, 39)
(g1, g2) = (40, 26)
(h1, h2) = (33, 32)
(i1, i2) = (10, 7)
l = 7


Vertici 43
0 1 10
0 2 9
0 3 10
0 4 9
0 5 11
0 6 9
0 7 8
0 8 10
0 9 10
0 10 7
0 11 8
0 12 8
0 13 14
0 14 3
0 15 7
0 16 7
0 17 8
0 18 10
0 19 10
0 20 9
0 21 7
0 22 12
0 23 8
0 24 5
0 25 8
0 26 10
0 27 7
0 28 9
0 29 10
0 30 5
0 31 7
0 32 7
0 33 9
0 34 10
0 35 6
0 36 9
0 37 9
0 38 6
0 39 9
0 40 8
0 41 9
0 42 11
1 2 6
1 3 6
1 4 5
1 5 4
1 6 7
1 7 5
1 8 6
1 9 7
1 10 5
1 11 6
1 12 8
1 13 6
1 14 8
1 15 3
1 16 5
1 17 8
1 18 3
1 19 8
1 20 6
1 21 6
1 22 8
1 23 4
1 24 7
1 25 8
1 26 4
1 27 9
1 28 7
1 29 9
1 30 10
1 31 5
1 32 9
1 33 7
1 34 8
1 35 8
1 36 10
1 37 3
1 38 5
1 39 7
1 40 5
1 41 8
1 42 9
2 3 9
2 4 5
2 5 5
2 6 8
2 7 8
2 8 9
2 9 7
2 10 9
2 11 6
2 12 5
2 13 12
2 14 9
2 15 7
2 16 9
2 17 7
2 18 8
2 19 5
2 20 7
2 21 9
2 22 7
2 23 5
2 24 7
2 25 8
2 26 8
2 27 7
2 28 6
2 29 8
2 30 5
2 31 6
2 32 9
2 33 7
2 34 8
2 35 3
2 36 5
2 37 3
2 38 6
2 39 7
2 40 9
2 41 8
2 42 10
3 4 8
3 5 10
3 6 9
3 7 8
3 8 8
3 9 10
3 10 8
3 11 8
3 12 5
3 13 12
3 14 8
3 15 9
3 16 6
3 17 9
3 18 9
3 19 11
3 20 11
3 21 10
3 22 8
3 23 10
3 24 6
3 25 6
3 26 9
3 27 7
3 28 10
3 29 7
3 30 5
3 31 9
3 32 12
3 33 12
3 34 9
3 35 7
3 36 9
3 37 6
3 38 8
3 39 4
3 40 11
3 41 10
3 42 11
4 5 8
4 6 6
4 7 6
4 8 5
4 9 6
4 10 10
4 11 5
4 12 7
4 13 10
4 14 7
4 15 2
4 16 7
4 17 7
4 18 8
4 19 7
4 20 5
4 21 10
4 22 9
4 23 8
4 24 6
4 25 7
4 26 6
4 27 9
4 28 7
4 29 9
4 30 7
4 31 4
4 32 8
4 33 6
4 34 7
4 35 5
4 36 9
4 37 2
4 38 4
4 39 6
4 40 4
4 41 7
4 42 9
5 6 6
5 7 7
5 8 7
5 9 6
5 10 9
5 11 3
5 12 9
5 13 10
5 14 8
5 15 6
5 16 8
5 17 7
5 18 7
5 19 5
5 20 3
5 21 6
5 22 4
5 23 6
5 24 7
5 25 5
5 26 8
5 27 7
5 28 9
5 29 9
5 30 9
5 31 5
5 32 9
5 33 8
5 34 5
5 35 8
5 36 9
5 37 6
5 38 5
5 39 7
5 40 8
5 41 9
5 42 6
6 7 4
6 8 5
6 9 5
6 10 8
6 11 3
6 12 4
6 13 7
6 14 8
6 15 6
6 16 5
6 17 7
6 18 8
6 19 5
6 20 3
6 21 6
6 22 3
6 23 6
6 24 6
6 25 3
6 26 3
6 27 7
6 28 6
6 29 3
6 30 7
6 31 2
6 32 5
6 33 7
6 34 5
6 35 6
6 36 3
6 37 5
6 38 5
6 39 5
6 40 5
6 41 4
6 42 6
7 8 8
7 9 5
7 10 4
7 11 7
7 12 3
7 13 11
7 14 11
7 15 7
7 16 5
7 17 8
7 18 8
7 19 6
7 20 4
7 21 9
7 22 7
7 23 7
7 24 6
7 25 7
7 26 7
7 27 8
7 28 6
7 29 7
7 30 7
7 31 2
7 32 9
7 33 9
7 34 6
7 35 5
7 36 7
7 37 5
7 38 8
7 39 9
7 40 7
7 41 8
7 42 5
8 9 9
8 10 8
8 11 4
8 12 6
8 13 9
8 14 7
8 15 3
8 16 3
8 17 8
8 18 6
8 19 8
8 20 6
8 21 7
8 22 8
8 23 9
8 24 5
8 25 2
8 26 5
8 27 5
8 28 8
8 29 8
8 30 7
8 31 6
8 32 7
8 33 5
8 34 6
8 35 7
8 36 6
8 37 7
8 38 5
8 39 4
8 40 5
8 41 6
8 42 8
9 10 9
9 11 7
9 12 8
9 13 8
9 14 7
9 15 6
9 16 6
9 17 7
9 18 9
9 19 5
9 20 3
9 21 9
9 22 8
9 23 6
9 24 7
9 25 8
9 26 6
9 27 7
9 28 7
9 29 8
9 30 5
9 31 3
9 32 6
9 33 6
9 34 5
9 35 7
9 36 8
9 37 4
9 38 8
9 39 8
9 40 4
9 41 8
9 42 7
10 11 6
10 12 7
10 13 11
10 14 10
10 15 8
10 16 7
10 17 7
10 18 7
10 19 5
10 20 7
10 21 6
10 22 11
10 23 9
10 24 9
10 25 8
10 26 7
10 27 4
